name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	90	90	0	100	100	-1	340	340	-1	148	148	-1	53	53	-1	260	260	-1	310	310	-1	t < 800 ms	90	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
Login	3	3	0	12610	12610	-1	13360	13360	-1	13007	13007	-1	293	293	-1	13360	13360	-1	13360	13360	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	3	100	failed	0	0	0	0	-1
Login / request_1	3	3	0	180	180	-1	310	310	-1	227	227	-1	58	58	-1	310	310	-1	310	310	-1	t < 800 ms	3	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Login / request_2	3	3	0	100	100	-1	280	280	-1	160	160	-1	85	85	-1	280	280	-1	280	280	-1	t < 800 ms	3	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Login / request_3	3	3	0	200	200	-1	240	240	-1	213	213	-1	22	22	-1	240	240	-1	240	240	-1	t < 800 ms	3	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_4	15	15	0	100	100	-1	140	140	-1	115	115	-1	13	13	-1	130	130	-1	140	140	-1	t < 800 ms	15	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_5	15	15	0	110	110	-1	340	340	-1	153	153	-1	63	63	-1	260	260	-1	340	340	-1	t < 800 ms	15	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_6	15	15	0	100	100	-1	250	250	-1	134	134	-1	46	46	-1	220	220	-1	250	250	-1	t < 800 ms	15	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_7	15	15	0	110	110	-1	210	210	-1	139	139	-1	32	32	-1	210	210	-1	210	210	-1	t < 800 ms	15	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_8	15	15	0	100	100	-1	270	270	-1	181	181	-1	48	48	-1	240	240	-1	270	270	-1	t < 800 ms	15	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_9	3	3	0	100	100	-1	160	160	-1	120	120	-1	28	28	-1	160	160	-1	160	160	-1	t < 800 ms	3	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_10	3	3	0	100	100	-1	110	110	-1	103	103	-1	10	10	-1	110	110	-1	110	110	-1	t < 800 ms	3	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
